Item,Price,Quantity,Place to buy,Link
Power supply 5V 10A,7.79,1,Amazon Egypt,https://www.amazon.eg/dp/B0DR631M7H
10A fuse,0.02,1,RAM Electronics,https://www.ram-e-shop.com/ar/shop/fuse-l-10a-fywz-zjjy-twyl-10a-mbyr-250v-fwlt-mqs-t6x30-mlm-6249
P-channel MOSFET (IRF9540),0.38,1,RAM Electronics,https://www.ram-e-shop.com/ar/shop/irf9540-irf9540n-p-channel-mosfet-5971
TFT LCD Display 2.8 SPI,7.11,1,RAM Electronics,https://www.ram-e-shop.com/ar/shop/kit-lcd-tft-2-8-touch-lcd-tft-2-8-inch-touch-display-for-arduino-uno-mega2560-8003
220 ohm resistor,0.01,1,RAM Electronics,https://mostelectronic.com/shop/components/resistor-220-ohm/
1000uF capacitor,0.09,1,RAM Electronics,https://mostelectronic.com/shop/components/capacitors/radial-electrolytic-capacitors/electrolytic-capacitor-1000uf-16v/
0.1uF capacitor,0.09,1,RAM Electronics,https://mostelectronic.com/shop/components/electrolytic-capacitor-0-1uf-50v/
PAM8403 Bluetooth amplifier,2.79,1,RAM Electronics,https://www.ram-e-shop.com/ar/shop/kit-amp-a158-2pam8403-5w-xh-a158-pam8403-bluetooth-dual-mini-5v-digital-audio-amplifier-board-2x5w-9239
Speaker glue,11.74,1,Amazon,https://www.amazon.com/FIXWANT-T-7000-Loudspeaker-Viscosity-0-5fl-oz/dp/B0C71KFGQN/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LpmPxbCTQiXopXQFjWtXRqMHgiupyVWnG_YT7RTI8DGPrwgImBUSAbYeEXzoezEaf7fsKP_GEWtVIaWL6GDeHeOibwGZGVYOFg9KHElxcOuJrlTz5A9T8wb9mTWLNBqCktjTFMzur4ncg6fV9dtuqGTIzsqlTYVV5FIhg6JsaEJqJM71hnQKP1hqG-G9LFPyS7GJ0lj01rxYhVobLpVvz9S7rJz628mktw8dNXp147o.NpZpgNJCuKP4I52w3SjodV4MBdbXTrfc5nm49MBAUNE&dib_tag=se&keywords=speaker%2Badhesive&qid=1780686170&sr=8-5&th=1
4 ohm 3W speakers,2.08,2,Amazon Egypt,https://www.amazon.eg/dp/B0FY4R1Z35
Polyfuse RXEF110,0.07,3,Maker Electronics,https://makerselectronics.com/product/rxef110-ptc-fuse-72v-1-1a/
USB breakout module,5.96,1,Amazon,https://www.amazon.com/dp/B09WQHPXH6
1N5819 diode,0.20,1,FUT Electronics,https://store.fut-electronics.com/products/shcottcky-diode-1n5819
ESP32 (38 pins),6.73,1,RAM Electronics,https://www.ram-e-shop.com/ar/shop/kit-esp32-esp32s-38pin-esp-32s-38pin-development-board-wifi-bluetooth-with-new-cp2102-chip-9279
LED,0.20,1,RAM Electronics,
20 AWG copper wire,1.90,1 meter,Local,
Plug-in wire,2.30,,Local,
Jumper wires,0.77,,RAM Electronics,https://www.ram-e-shop.com/ar/shop/ph60-mf-20cm-ph60-20cm-male-to-female-40-jumper-wires-set-7066
PCB fabrication,5.00,1,JLCPCB,
3D design,,,,
